1.0000,1.0000,0.9347,0.8927,0.6699,0.9431,0.5597,0.1345,0.4117,0.3696,0.5141,0.5447,0.2832,0.3402,0.2323,0.2705
1.0000,1.0000,0.9347,0.8927,0.6699,0.9431,0.5597,0.1345,0.4117,0.3696,0.5141,0.5447,0.2832,0.3402,0.2323,0.2705
0.9347,0.9347,1.0000,0.8466,0.6291,0.8891,0.5488,0.1378,0.3999,0.3599,0.4969,0.5125,0.2700,0.3353,0.2206,0.2593
0.8927,0.8927,0.8466,1.0000,0.6472,0.8425,0.4862,0.1653,0.3975,0.3579,0.6221,0.5528,0.5058,0.3149,0.3317,0.3174
0.6699,0.6699,0.6291,0.6472,1.0000,0.6415,0.1992,0.1573,0.3373,0.2854,0.4334,0.5071,0.2205,0.1784,0.1759,0.2081
0.9431,0.9431,0.8891,0.8425,0.6415,1.0000,0.5972,0.1286,0.3878,0.3475,0.4634,0.5181,0.2660,0.3251,0.2258,0.2587
0.5597,0.5597,0.5488,0.4862,0.1992,0.5972,1.0000,0.1640,0.2481,0.2356,0.2557,0.2707,0.1849,0.2641,0.1295,0.1714
0.1345,0.1345,0.1378,0.1653,0.1573,0.1286,0.1640,1.0000,0.1043,0.1051,0.0824,0.0625,0.0602,0.0278,0.0457,0.0681
0.4117,0.4117,0.3999,0.3975,0.3373,0.3878,0.2481,0.1043,1.0000,0.8399,0.3300,0.3493,0.1933,0.2059,0.1464,0.1861
0.3696,0.3696,0.3599,0.3579,0.2854,0.3475,0.2356,0.1051,0.8399,1.0000,0.2781,0.2836,0.1641,0.2053,0.1385,0.1816
0.5141,0.5141,0.4969,0.6221,0.4334,0.4634,0.2557,0.0824,0.3300,0.2781,1.0000,0.5974,0.3599,0.2483,0.3567,0.3023
0.5447,0.5447,0.5125,0.5528,0.5071,0.5181,0.2707,0.0625,0.3493,0.2836,0.5974,1.0000,0.3387,0.2147,0.2991,0.4883
0.2832,0.2832,0.2700,0.5058,0.2205,0.2660,0.1849,0.0602,0.1933,0.1641,0.3599,0.3387,1.0000,0.1383,0.3989,0.2842
0.3402,0.3402,0.3353,0.3149,0.1784,0.3251,0.2641,0.0278,0.2059,0.2053,0.2483,0.2147,0.1383,1.0000,0.1986,0.2033
0.2323,0.2323,0.2206,0.3317,0.1759,0.2258,0.1295,0.0457,0.1464,0.1385,0.3567,0.2991,0.3989,0.1986,1.0000,0.3421
0.2705,0.2705,0.2593,0.3174,0.2081,0.2587,0.1714,0.0681,0.1861,0.1816,0.3023,0.4883,0.2842,0.2033,0.3421,1.0000
