1.0000,0.9975,0.9666,0.8987,0.1581,0.9125,0.8206,0.1519,-0.6117,0.8829,-0.9773,-0.8374,-0.9756,0.2270,0.3600,-0.0791
0.9975,1.0000,0.9626,0.8739,0.1345,0.9085,0.8457,0.1040,-0.6267,0.8979,-0.9735,-0.8332,-0.9715,0.2633,0.3916,-0.1171
0.9666,0.9626,1.0000,0.8480,0.1138,0.8111,0.7323,0.0898,-0.5403,0.8047,-0.9154,-0.8036,-0.9444,0.2452,0.3125,0.0302
0.8987,0.8739,0.8480,1.0000,0.3480,0.7787,0.6590,0.3593,-0.4301,0.7487,-0.9170,-0.7250,-0.9215,-0.0363,0.1011,0.0410
0.1581,0.1345,0.1138,0.3480,1.0000,0.0678,-0.2410,0.8345,0.6083,-0.1842,-0.1602,0.1853,-0.1641,-0.8525,-0.7731,-0.4611
0.9125,0.9085,0.8111,0.7787,0.0678,1.0000,0.7947,0.2218,-0.7131,0.8520,-0.9094,-0.8390,-0.8540,0.2605,0.4803,-0.0975
0.8206,0.8457,0.7323,0.6590,-0.2410,0.7947,1.0000,-0.3146,-0.8469,0.9707,-0.8382,-0.7932,-0.8124,0.5884,0.7051,-0.1430
0.1519,0.1040,0.0898,0.3593,0.8345,0.2218,-0.3146,1.0000,0.4311,-0.1895,-0.1640,0.0882,-0.1392,-0.8111,-0.6404,-0.1643
-0.6117,-0.6267,-0.5403,-0.4301,0.6083,-0.7131,-0.8469,0.4311,1.0000,-0.8532,0.6493,0.7621,0.6036,-0.8123,-0.9283,-0.2288
0.8829,0.8979,0.8047,0.7487,-0.1842,0.8520,0.9707,-0.1895,-0.8532,1.0000,-0.9079,-0.7894,-0.8957,0.5398,0.6834,-0.0804
-0.9773,-0.9735,-0.9154,-0.9170,-0.1602,-0.9094,-0.8382,-0.1640,0.6493,-0.9079,1.0000,0.8152,0.9849,-0.2552,-0.4022,0.0464
-0.8374,-0.8332,-0.8036,-0.7250,0.1853,-0.8390,-0.7932,0.0882,0.7621,-0.7894,0.8152,1.0000,0.7621,-0.4653,-0.5433,-0.2593
-0.9756,-0.9715,-0.9444,-0.9215,-0.1641,-0.8540,-0.8124,-0.1392,0.6036,-0.8957,0.9849,0.7621,1.0000,-0.2360,-0.3589,0.0424
0.2270,0.2633,0.2452,-0.0363,-0.8525,0.2605,0.5884,-0.8111,-0.8123,0.5398,-0.2552,-0.4653,-0.2360,1.0000,0.9423,0.3222
0.3600,0.3916,0.3125,0.1011,-0.7731,0.4803,0.7051,-0.6404,-0.9283,0.6834,-0.4022,-0.5433,-0.3589,0.9423,1.0000,0.1927
-0.0791,-0.1171,0.0302,0.0410,-0.4611,-0.0975,-0.1430,-0.1643,-0.2288,-0.0804,0.0464,-0.2593,0.0424,0.3222,0.1927,1.0000
